id,restaurant,dish,cuisine,price,rating,city,area,dietary,spicy,mood_tags,meal_type,distance_km,delivery_minutes,image_url
133,Chai & Bites,Paneer Salad,Healthy,190,4.1,Gwalior,City Centre,Vegetarian,False,"healthy, relaxed, tired","lunch, dinner",2.4,21,"https://loremflickr.com/800/600/paneer,salad?lock=133"
134,Indore Namkeen House,Rasmalai,Dessert,150,4.2,Gwalior,Thatipur,Vegetarian,False,"happy, relaxed, social","snacks, dinner",5.6,37,https://loremflickr.com/800/600/rasmalai?lock=134
135,The Dosa Corner,Veg Biryani,Biryani,230,3.7,Gwalior,Mahalgaon,Vegetarian,True,"comfort, happy, tired","lunch, dinner",6.0,38,"https://loremflickr.com/800/600/veg,biryani?lock=135"
136,Punjab Grill House,Veg Manchurian,Chinese,170,3.7,Gwalior,Lashkar,Vegetarian,True,"happy, adventurous, comfort","snacks, dinner",2.7,31,"https://loremflickr.com/800/600/veg,manchurian?lock=136"
137,South Spice,Raj Kachori,Street Food,150,4.7,Gwalior,University Road,Vegetarian,True,"adventurous, happy, social",snacks,6.3,39,"https://loremflickr.com/800/600/raj,kachori?lock=137"
138,Cafe Central,Paneer Wrap,Fast Food,190,4.3,Gwalior,City Centre,Vegetarian,True,"tired, healthy, happy","lunch, snacks",2.8,24,"https://loremflickr.com/800/600/paneer,wrap?lock=138"
139,Flavours of India,Palak Paneer,North Indian,220,4.0,Gwalior,Morar,Vegetarian,False,"healthy, comfort, relaxed","lunch, dinner",4.9,33,"https://loremflickr.com/800/600/palak,paneer?lock=139"
140,Biryani Junction,Upma,South Indian,110,4.4,Gwalior,Hazira,Vegetarian,False,"healthy, tired, relaxed",breakfast,5.0,30,https://loremflickr.com/800/600/upma?lock=140
141,Healthy Plate,Momos,Tibetan,150,4.7,Gwalior,University Road,Vegetarian,True,"happy, adventurous, social","snacks, dinner",6.9,41,https://loremflickr.com/800/600/momos?lock=141
142,Street Food Hub,Grilled Paneer Sandwich,Fast Food,170,4.4,Gwalior,Phalka Bazar,Vegetarian,False,"healthy, tired, happy","breakfast, snacks",3.3,24,"https://loremflickr.com/800/600/grilled,paneer,sandwich?lock=142"
143,Royal Biryani,Masala Chai,Beverage,50,3.8,Gwalior,Thatipur,Vegetarian,False,"relaxed, tired, comfort","breakfast, snacks",3.8,25,"https://loremflickr.com/800/600/masala,chai?lock=143"
144,Cafe Aroma,Paneer Tikka,North Indian,220,4.1,Gwalior,Mahalgaon,Vegetarian,True,"comfort, happy, social","lunch, dinner",4.3,30,"https://loremflickr.com/800/600/paneer,tikka?lock=144"
145,Rajasthani Rasoi,Butter Chicken,North Indian,290,4.0,Gwalior,Lashkar,Non-Vegetarian,True,"comfort, happy, tired","lunch, dinner",4.8,33,"https://loremflickr.com/800/600/butter,chicken?lock=145"
146,Sweet & Savoury,Vada Sambar,South Indian,130,3.8,Gwalior,City Centre,Vegetarian,True,"happy, comfort","breakfast, snacks",1.3,24,"https://loremflickr.com/800/600/vada,sambar?lock=146"
147,The Food Factory,Farmhouse Pizza,Italian,290,3.9,Gwalior,Morar,Vegetarian,False,"happy, social, adventurous","lunch, dinner",3.3,35,"https://loremflickr.com/800/600/farmhouse,pizza?lock=147"
148,Masala Magic,Special Thali,North Indian,240,4.5,Gwalior,Hazira,Vegetarian,True,"comfort, happy, social","lunch, dinner",7.7,39,"https://loremflickr.com/800/600/special,thali?lock=148"
149,Pizza Craft,Tandoori Chicken,North Indian,280,4.4,Gwalior,Thatipur,Non-Vegetarian,True,"adventurous, happy, social","lunch, dinner",3.0,28,"https://loremflickr.com/800/600/tandoori,chicken?lock=149"
150,Burger Station,Chilli Paneer,Chinese,190,4.3,Gwalior,University Road,Vegetarian,True,"adventurous, happy, social","snacks, dinner",3.5,33,"https://loremflickr.com/800/600/chilli,paneer?lock=150"
151,Tandoori House,White Sauce Pasta,Italian,260,4.1,Gwalior,City Centre,Vegetarian,False,"comfort, tired, happy","lunch, dinner",2.8,34,"https://loremflickr.com/800/600/white,sauce,pasta?lock=151"
152,The Spice Route,Paneer Salad,Healthy,210,3.8,Gwalior,Lashkar,Vegetarian,False,"healthy, relaxed, tired","lunch, dinner",4.4,39,"https://loremflickr.com/800/600/paneer,salad?lock=152"
153,Gwalior Zaika,Rasmalai,Dessert,100,4.3,Gwalior,Thatipur,Vegetarian,False,"happy, relaxed, social","snacks, dinner",5.7,38,https://loremflickr.com/800/600/rasmalai?lock=153
154,Royal Rasoi,Veg Biryani,Biryani,210,4.1,Gwalior,Morar,Vegetarian,True,"comfort, happy, tired","lunch, dinner",5.9,32,"https://loremflickr.com/800/600/veg,biryani?lock=154"
155,Swaad Junction,Veg Manchurian,Chinese,190,4.6,Gwalior,Mahalgaon,Vegetarian,True,"happy, adventurous, comfort","snacks, dinner",3.5,33,"https://loremflickr.com/800/600/veg,manchurian?lock=155"
156,Urban Tadka,Raj Kachori,Street Food,120,4.6,Gwalior,City Centre,Vegetarian,True,"adventurous, happy, social",snacks,2.8,23,"https://loremflickr.com/800/600/raj,kachori?lock=156"
157,Shree Bhojan,Paneer Wrap,Fast Food,180,4.6,Gwalior,Phalka Bazar,Vegetarian,True,"tired, healthy, happy","lunch, snacks",2.2,25,"https://loremflickr.com/800/600/paneer,wrap?lock=157"
158,Desi Zaika,Palak Paneer,North Indian,230,3.8,Gwalior,Hazira,Vegetarian,False,"healthy, comfort, relaxed","lunch, dinner",6.2,32,"https://loremflickr.com/800/600/palak,paneer?lock=158"
159,Food Street Gwalior,Upma,South Indian,90,4.6,Gwalior,Thatipur,Vegetarian,False,"healthy, tired, relaxed",breakfast,2.4,33,https://loremflickr.com/800/600/upma?lock=159
160,The Green Bowl,Momos,Tibetan,170,4.7,Gwalior,University Road,Vegetarian,True,"happy, adventurous, social","snacks, dinner",4.6,29,https://loremflickr.com/800/600/momos?lock=160
161,Curry Culture,Grilled Paneer Sandwich,Fast Food,160,4.5,Gwalior,Lashkar,Vegetarian,False,"healthy, tired, happy","breakfast, snacks",4.9,31,"https://loremflickr.com/800/600/grilled,paneer,sandwich?lock=161"
162,Madhya Rasoi,Masala Chai,Beverage,80,4.7,Gwalior,Morar,Vegetarian,False,"relaxed, tired, comfort","breakfast, snacks",6.1,37,"https://loremflickr.com/800/600/masala,chai?lock=162"
163,Chai & Bites,Paneer Tikka,North Indian,250,4.5,Gwalior,City Centre,Vegetarian,True,"comfort, happy, social","lunch, dinner",1.9,30,"https://loremflickr.com/800/600/paneer,tikka?lock=163"
164,Indore Namkeen House,Butter Chicken,North Indian,320,4.7,Gwalior,Thatipur,Non-Vegetarian,True,"comfort, happy, tired","lunch, dinner",3.1,28,"https://loremflickr.com/800/600/butter,chicken?lock=164"
165,The Dosa Corner,Vada Sambar,South Indian,130,4.2,Gwalior,Mahalgaon,Vegetarian,True,"happy, comfort","breakfast, snacks",4.9,33,"https://loremflickr.com/800/600/vada,sambar?lock=165"
166,Punjab Grill House,Farmhouse Pizza,Italian,270,4.2,Gwalior,Lashkar,Vegetarian,False,"happy, social, adventurous","lunch, dinner",2.6,27,"https://loremflickr.com/800/600/farmhouse,pizza?lock=166"
167,South Spice,Special Thali,North Indian,260,4.6,Gwalior,University Road,Vegetarian,True,"comfort, happy, social","lunch, dinner",4.0,36,"https://loremflickr.com/800/600/special,thali?lock=167"
168,Cafe Central,Tandoori Chicken,North Indian,320,4.7,Gwalior,City Centre,Non-Vegetarian,True,"adventurous, happy, social","lunch, dinner",2.6,28,"https://loremflickr.com/800/600/tandoori,chicken?lock=168"
169,Flavours of India,Chilli Paneer,Chinese,200,3.8,Gwalior,Morar,Vegetarian,True,"adventurous, happy, social","snacks, dinner",5.9,37,"https://loremflickr.com/800/600/chilli,paneer?lock=169"
170,Biryani Junction,Veg Pasta,Italian,240,4.0,Gwalior,Hazira,Vegetarian,False,"comfort, tired, happy","lunch, dinner",5.4,38,"https://loremflickr.com/800/600/veg,pasta?lock=170"
171,Healthy Plate,Sprouts Chaat,Healthy,120,4.6,Gwalior,University Road,Vegetarian,True,"healthy, adventurous, tired","breakfast, snacks",2.9,25,"https://loremflickr.com/800/600/sprouts,chaat?lock=171"
172,Street Food Hub,Gulab Jamun,Dessert,110,4.0,Gwalior,Phalka Bazar,Vegetarian,False,"happy, comfort, social","snacks, dinner",3.3,28,"https://loremflickr.com/800/600/gulab,jamun?lock=172"
173,Royal Biryani,Chole Bhature,North Indian,170,4.3,Gwalior,Thatipur,Vegetarian,True,"happy, adventurous, comfort","breakfast, lunch",3.7,34,"https://loremflickr.com/800/600/chole,bhature?lock=173"
174,Cafe Aroma,Chicken Hakka Noodles,Chinese,230,4.1,Gwalior,Mahalgaon,Non-Vegetarian,True,"tired, adventurous, happy","lunch, dinner",4.3,30,"https://loremflickr.com/800/600/chicken,hakka,noodles?lock=174"
175,Rajasthani Rasoi,Samosa Chaat,Street Food,90,3.8,Gwalior,Lashkar,Vegetarian,True,"happy, social, comfort",snacks,2.2,21,"https://loremflickr.com/800/600/samosa,chaat?lock=175"
176,Sweet & Savoury,Chicken Burger,Fast Food,220,4.7,Gwalior,City Centre,Non-Vegetarian,True,"happy, adventurous, comfort","lunch, snacks, dinner",3.0,24,"https://loremflickr.com/800/600/chicken,burger?lock=176"
177,The Food Factory,Kadhi Chawal,North Indian,180,4.2,Gwalior,Morar,Vegetarian,False,"comfort, tired, healthy",lunch,5.9,43,"https://loremflickr.com/800/600/kadhi,chawal?lock=177"
178,Masala Magic,Poha,Indian,90,4.4,Gwalior,Hazira,Vegetarian,False,"healthy, tired, relaxed",breakfast,7.9,48,https://loremflickr.com/800/600/poha?lock=178
179,Pizza Craft,Chicken Fried Rice,Chinese,220,4.0,Gwalior,Thatipur,Non-Vegetarian,True,"comfort, adventurous, happy","lunch, dinner",2.7,21,"https://loremflickr.com/800/600/chicken,fried,rice?lock=179"
180,Burger Station,Veg Sandwich,Fast Food,130,3.8,Gwalior,University Road,Vegetarian,False,"healthy, tired, happy","breakfast, snacks",2.7,22,"https://loremflickr.com/800/600/veg,sandwich?lock=180"
181,Kesar Kitchen,Kaju Masala,North Indian,280,4.0,Gwalior,Lashkar,Vegetarian,False,"['comfort', 'happy']","['lunch', 'dinner']",2.6,27,"https://loremflickr.com/800/600/kaju,masala?lock=181"
182,Rasoi Express,Matar Mushroom,North Indian,200,4.8,Gwalior,Thatipur,Vegetarian,False,"['healthy', 'relaxed']","['lunch', 'dinner']",2.7,27,"https://loremflickr.com/800/600/matar,mushroom?lock=182"
183,Maa Annapurna Bhoj,Dum Aloo Banarasi,North Indian,240,3.8,Gwalior,Morar,Vegetarian,True,"['comfort', 'adventurous']","['lunch', 'dinner']",6.3,34,"https://loremflickr.com/800/600/dum,aloo,banarasi?lock=183"
184,Gwalior Food Studio,Kashmiri Pulao,North Indian,260,4.0,Gwalior,City Centre,Vegetarian,False,"['relaxed', 'happy']","['lunch', 'dinner']",3.6,33,"https://loremflickr.com/800/600/kashmiri,pulao?lock=184"
185,Desi Dastarkhwan,Amritsari Kulcha,Punjabi,180,4.2,Gwalior,Hazira,Vegetarian,True,"['happy', 'comfort']","['breakfast', 'lunch']",6.9,41,"https://loremflickr.com/800/600/amritsari,kulcha?lock=185"
186,Zaika-e-Gwalior,Chole Kulche,Punjabi,120,3.8,Gwalior,Phalka Bazar,Vegetarian,True,"['happy', 'adventurous']","['breakfast', 'lunch']",3.0,31,"https://loremflickr.com/800/600/chole,kulche?lock=186"
187,Spice Garden,Paneer Lababdar,North Indian,290,4.1,Gwalior,University Road,Vegetarian,False,"['comfort', 'happy']","['lunch', 'dinner']",6.1,34,"https://loremflickr.com/800/600/paneer,lababdar?lock=187"
188,Shahi Handi,Paneer Do Pyaza,North Indian,240,4.1,Gwalior,Mahalgaon,Vegetarian,True,"['comfort', 'tired']","['lunch', 'dinner']",4.3,34,"https://loremflickr.com/800/600/paneer,do,pyaza?lock=188"
189,Urban Rasoi,Kadhai Paneer,North Indian,270,3.9,Gwalior,Lashkar,Vegetarian,True,"['comfort', 'happy']","['lunch', 'dinner']",5.0,36,"https://loremflickr.com/800/600/kadhai,paneer?lock=189"
190,Tawa Junction,Achari Paneer,North Indian,265,3.7,Gwalior,Thatipur,Vegetarian,True,"['adventurous', 'happy']","['lunch', 'dinner']",5.7,41,"https://loremflickr.com/800/600/achari,paneer?lock=190"
191,Bhookh Lagi,Methi Malai Paneer,North Indian,265,4.0,Gwalior,Morar,Vegetarian,False,"['relaxed', 'comfort']","['lunch', 'dinner']",5.9,35,"https://loremflickr.com/800/600/methi,malai,paneer?lock=191"
192,The Curry Leaf,Corn Palak,North Indian,210,4.8,Gwalior,City Centre,Vegetarian,False,"['healthy', 'relaxed']","['lunch', 'dinner']",1.3,27,"https://loremflickr.com/800/600/corn,palak?lock=192"
193,Nawab's Kitchen,Mushroom Do Pyaza,North Indian,240,4.0,Gwalior,Hazira,Vegetarian,True,"['adventurous', 'comfort']","['lunch', 'dinner']",6.6,37,"https://loremflickr.com/800/600/mushroom,do,pyaza?lock=193"
194,Saffron Table,Veg Kofta Curry,North Indian,215,4.0,Gwalior,University Road,Vegetarian,False,"['comfort', 'happy']","['lunch', 'dinner']",4.2,30,"https://loremflickr.com/800/600/veg,kofta,curry?lock=194"
195,Chatkara Point,Dum Aloo Punjabi,Punjabi,200,4.6,Gwalior,Phalka Bazar,Vegetarian,True,"['comfort', 'happy']","['lunch', 'dinner']",2.8,29,"https://loremflickr.com/800/600/dum,aloo,punjabi?lock=195"
196,Dakshin Rasoi,Sarson Saag,Punjabi,170,4.2,Gwalior,Mahalgaon,Vegetarian,False,"['healthy', 'comfort']","['lunch', 'dinner']",2.5,30,"https://loremflickr.com/800/600/sarson,saag?lock=196"
197,Desi Dhaba,Makki Di Roti,Punjabi,150,4.2,Gwalior,Lashkar,Vegetarian,False,"['comfort', 'relaxed']","['lunch', 'dinner']",4.2,28,"https://loremflickr.com/800/600/makki,di,roti?lock=197"
198,Flame & Tawa,Amritsari Paneer,Punjabi,250,4.9,Gwalior,Thatipur,Vegetarian,True,"['happy', 'adventurous']","['lunch', 'dinner']",5.7,40,"https://loremflickr.com/800/600/amritsari,paneer?lock=198"
199,Annapurna Kitchen,Chicken Handi,North Indian,310,3.8,Gwalior,Morar,Non-Vegetarian,True,"['comfort', 'happy']","['lunch', 'dinner']",5.1,40,"https://loremflickr.com/800/600/chicken,handi?lock=199"
200,The Food Lane,Chicken Korma,Mughlai,350,4.7,Gwalior,City Centre,Non-Vegetarian,False,"['comfort', 'relaxed']","['lunch', 'dinner']",1.1,21,"https://loremflickr.com/800/600/chicken,korma?lock=200"
201,Royal Tawa,Mutton Rogan Josh,Mughlai,360,4.8,Gwalior,Hazira,Non-Vegetarian,True,"['adventurous', 'comfort']","['lunch', 'dinner']",3.4,26,"https://loremflickr.com/800/600/mutton,rogan,josh?lock=201"
202,Bhopal Bites Gwalior,Mutton Korma,Mughlai,380,3.8,Gwalior,University Road,Non-Vegetarian,False,"['comfort', 'happy']","['lunch', 'dinner']",3.8,33,"https://loremflickr.com/800/600/mutton,korma?lock=202"
203,Roti & Curry,Chicken Changezi,Mughlai,350,3.9,Gwalior,Phalka Bazar,Non-Vegetarian,True,"['adventurous', 'happy']","['lunch', 'dinner']",2.6,22,"https://loremflickr.com/800/600/chicken,changezi?lock=203"
204,Masala Junction,Chicken Afghani,Mughlai,300,4.1,Gwalior,Mahalgaon,Non-Vegetarian,False,"['comfort', 'happy']","['lunch', 'dinner']",2.9,24,"https://loremflickr.com/800/600/chicken,afghani?lock=204"
205,Ghar Ka Swaad,Chicken Seekh Kebab,Mughlai,290,4.3,Gwalior,Lashkar,Non-Vegetarian,True,"['adventurous', 'social']","['snacks', 'dinner']",2.6,33,"https://loremflickr.com/800/600/chicken,seekh,kebab?lock=205"
206,Tadka Tales,Mutton Seekh Kebab,Mughlai,310,4.7,Gwalior,Thatipur,Non-Vegetarian,True,"['adventurous', 'social']","['snacks', 'dinner']",2.4,22,"https://loremflickr.com/800/600/mutton,seekh,kebab?lock=206"
207,Foodie Adda,Reshmi Kebab,Mughlai,290,4.6,Gwalior,Morar,Non-Vegetarian,False,"['comfort', 'social']","['snacks', 'dinner']",5.6,32,"https://loremflickr.com/800/600/reshmi,kebab?lock=207"
208,The Hungry Bowl,Tangdi Kebab,Mughlai,290,4.1,Gwalior,City Centre,Non-Vegetarian,True,"['adventurous', 'happy']","['snacks', 'dinner']",3.8,26,"https://loremflickr.com/800/600/tangdi,kebab?lock=208"
209,Zaika Darbar,Chicken Malai Tikka,Mughlai,320,4.2,Gwalior,Hazira,Non-Vegetarian,False,"['comfort', 'relaxed']","['snacks', 'dinner']",4.9,36,"https://loremflickr.com/800/600/chicken,malai,tikka?lock=209"
210,Rasoi 24,Mutton Keema,Mughlai,370,4.2,Gwalior,University Road,Non-Vegetarian,True,"['comfort', 'adventurous']","['lunch', 'dinner']",3.4,29,"https://loremflickr.com/800/600/mutton,keema?lock=210"
211,Chatori Gali Kitchen,Egg Bhurji,Indian,130,4.5,Gwalior,Phalka Bazar,Non-Vegetarian,True,"['tired', 'comfort']","['breakfast', 'snacks']",1.7,24,"https://loremflickr.com/800/600/egg,bhurji?lock=211"
212,Spice Villa,Egg Paratha,Indian,150,4.2,Gwalior,Mahalgaon,Non-Vegetarian,True,"['comfort', 'happy']",['breakfast'],4.6,35,"https://loremflickr.com/800/600/egg,paratha?lock=212"
213,Khaao Ghar,Chicken Keema Pav,Indian,220,4.1,Gwalior,Lashkar,Non-Vegetarian,True,"['comfort', 'happy']","['breakfast', 'dinner']",1.8,22,"https://loremflickr.com/800/600/chicken,keema,pav?lock=213"
214,Dilli Darbar Gwalior,Anda Curry,Indian,200,4.0,Gwalior,Thatipur,Non-Vegetarian,True,"['comfort', 'tired']","['lunch', 'dinner']",4.9,37,"https://loremflickr.com/800/600/anda,curry?lock=214"
215,Tawa Treat,Chicken Kathi Roll,Indian,240,4.7,Gwalior,Morar,Non-Vegetarian,True,"['happy', 'adventurous']","['snacks', 'dinner']",4.8,29,"https://loremflickr.com/800/600/chicken,kathi,roll?lock=215"
216,The Indian Platter,Paneer Kathi Roll,Indian,180,4.5,Gwalior,City Centre,Vegetarian,True,"['happy', 'adventurous']","['snacks', 'dinner']",2.6,31,"https://loremflickr.com/800/600/paneer,kathi,roll?lock=216"
217,Curry & Crust,Aloo Paratha,Punjabi,110,4.4,Gwalior,Hazira,Vegetarian,True,"['comfort', 'tired']",['breakfast'],7.9,38,"https://loremflickr.com/800/600/aloo,paratha?lock=217"
218,Flavour Junction,Paneer Paratha,Punjabi,140,4.0,Gwalior,University Road,Vegetarian,True,"['comfort', 'happy']",['breakfast'],6.3,36,"https://loremflickr.com/800/600/paneer,paratha?lock=218"
219,Desi Bowl,Gobi Paratha,Punjabi,130,4.7,Gwalior,Phalka Bazar,Vegetarian,True,"['comfort', 'healthy']",['breakfast'],1.9,22,"https://loremflickr.com/800/600/gobi,paratha?lock=219"
220,Rasoi Republic,Mix Veg Paratha,Punjabi,160,4.4,Gwalior,Mahalgaon,Vegetarian,True,"['healthy', 'comfort']",['breakfast'],5.2,38,"https://loremflickr.com/800/600/mix,veg,paratha?lock=220"
221,The Punjabi Table,Methi Paratha,Punjabi,120,3.8,Gwalior,Lashkar,Vegetarian,False,"['healthy', 'relaxed']",['breakfast'],2.8,27,"https://loremflickr.com/800/600/methi,paratha?lock=221"
222,Dosa District,Pindi Chole,Punjabi,190,4.3,Gwalior,Thatipur,Vegetarian,True,"['happy', 'comfort']","['breakfast', 'lunch']",3.9,33,"https://loremflickr.com/800/600/pindi,chole?lock=222"
223,Biryani Darbar,Amritsari Fish,Punjabi,290,4.2,Gwalior,Morar,Non-Vegetarian,True,"['adventurous', 'happy']","['lunch', 'dinner']",6.8,45,"https://loremflickr.com/800/600/amritsari,fish?lock=223"
224,Healthy Habits Cafe,Tandoori Fish,Indian,310,4.6,Gwalior,City Centre,Non-Vegetarian,True,"['healthy', 'adventurous']","['lunch', 'dinner']",3.2,32,"https://loremflickr.com/800/600/tandoori,fish?lock=224"
225,Snack Station,Fish Tikka,Indian,280,4.8,Gwalior,Hazira,Non-Vegetarian,True,"['healthy', 'adventurous']","['snacks', 'dinner']",4.0,30,"https://loremflickr.com/800/600/fish,tikka?lock=225"
226,Mitti Ki Rasoi,Prawn Masala,Indian,310,3.9,Gwalior,University Road,Non-Vegetarian,True,"['adventurous', 'happy']","['lunch', 'dinner']",2.9,33,"https://loremflickr.com/800/600/prawn,masala?lock=226"
227,The Chaat Lab,Prawn Biryani,Biryani,350,4.0,Gwalior,Phalka Bazar,Non-Vegetarian,True,"['adventurous', 'happy']","['lunch', 'dinner']",1.3,22,"https://loremflickr.com/800/600/prawn,biryani?lock=227"
228,Royal Thali House,Kolkata Chicken Biryani,Biryani,330,4.3,Gwalior,Mahalgaon,Non-Vegetarian,False,"['comfort', 'adventurous']","['lunch', 'dinner']",3.5,34,"https://loremflickr.com/800/600/kolkata,chicken,biryani?lock=228"
229,Taste Trail,Hyderabadi Veg Biryani,Biryani,220,4.9,Gwalior,Lashkar,Vegetarian,True,"['adventurous', 'comfort']","['lunch', 'dinner']",3.3,35,"https://loremflickr.com/800/600/hyderabadi,veg,biryani?lock=229"
230,Gharana Kitchen,Hyderabadi Chicken Biryani,Biryani,290,4.5,Gwalior,Thatipur,Non-Vegetarian,True,"['adventurous', 'comfort']","['lunch', 'dinner']",5.6,33,"https://loremflickr.com/800/600/hyderabadi,chicken,biryani?lock=230"
231,Kesar Kitchen,Lucknowi Chicken Biryani,Biryani,330,3.7,Gwalior,Lashkar,Non-Vegetarian,False,"['comfort', 'relaxed']","['lunch', 'dinner']",3.6,36,"https://loremflickr.com/800/600/lucknowi,chicken,biryani?lock=231"
232,Rasoi Express,Paneer Biryani,Biryani,260,4.1,Gwalior,Thatipur,Vegetarian,True,"['comfort', 'happy']","['lunch', 'dinner']",2.8,34,"https://loremflickr.com/800/600/paneer,biryani?lock=232"
233,Maa Annapurna Bhoj,Mushroom Biryani,Biryani,250,4.9,Gwalior,Morar,Vegetarian,True,"['healthy', 'adventurous']","['lunch', 'dinner']",3.2,32,"https://loremflickr.com/800/600/mushroom,biryani?lock=233"
234,Gwalior Food Studio,Jeera Rice,Indian,90,3.8,Gwalior,City Centre,Vegetarian,False,"['comfort', 'relaxed']","['lunch', 'dinner']",2.5,33,"https://loremflickr.com/800/600/jeera,rice?lock=234"
235,Desi Dastarkhwan,Veg Pulao,Indian,130,3.9,Gwalior,Hazira,Vegetarian,False,"['healthy', 'comfort']","['lunch', 'dinner']",6.6,38,"https://loremflickr.com/800/600/veg,pulao?lock=235"
236,Zaika-e-Gwalior,Kashmiri Dum Aloo,Kashmiri,210,4.6,Gwalior,Phalka Bazar,Vegetarian,True,"['adventurous', 'comfort']","['lunch', 'dinner']",3.6,26,"https://loremflickr.com/800/600/kashmiri,dum,aloo?lock=236"
237,Spice Garden,Kashmiri Rajma,Kashmiri,200,4.7,Gwalior,University Road,Vegetarian,False,"['healthy', 'comfort']","['lunch', 'dinner']",4.0,38,"https://loremflickr.com/800/600/kashmiri,rajma?lock=237"
238,Shahi Handi,Dal Tadka,North Indian,180,4.6,Gwalior,Mahalgaon,Vegetarian,True,"['comfort', 'tired']","['lunch', 'dinner']",2.5,33,"https://loremflickr.com/800/600/dal,tadka?lock=238"
239,Urban Rasoi,Dal Fry,North Indian,170,4.8,Gwalior,Lashkar,Vegetarian,False,"['comfort', 'healthy']","['lunch', 'dinner']",3.2,35,"https://loremflickr.com/800/600/dal,fry?lock=239"
240,Tawa Junction,Dal Palak,North Indian,160,3.8,Gwalior,Thatipur,Vegetarian,False,"['healthy', 'relaxed']","['lunch', 'dinner']",4.9,30,"https://loremflickr.com/800/600/dal,palak?lock=240"
241,Bhookh Lagi,Dal Panchratna,North Indian,190,4.2,Gwalior,Morar,Vegetarian,False,"['healthy', 'comfort']","['lunch', 'dinner']",5.8,42,"https://loremflickr.com/800/600/dal,panchratna?lock=241"
242,The Curry Leaf,Bhindi Masala,North Indian,150,4.5,Gwalior,City Centre,Vegetarian,True,"['healthy', 'comfort']","['lunch', 'dinner']",1.2,18,"https://loremflickr.com/800/600/bhindi,masala?lock=242"
243,Nawab's Kitchen,Baingan Bharta,North Indian,200,4.9,Gwalior,Hazira,Vegetarian,True,"['comfort', 'relaxed']","['lunch', 'dinner']",7.7,38,"https://loremflickr.com/800/600/baingan,bharta?lock=243"
244,Saffron Table,Jeera Aloo,North Indian,160,4.5,Gwalior,University Road,Vegetarian,True,"['comfort', 'tired']","['lunch', 'dinner']",2.5,23,"https://loremflickr.com/800/600/jeera,aloo?lock=244"
245,Chatkara Point,Aloo Gobi,North Indian,180,4.9,Gwalior,Phalka Bazar,Vegetarian,True,"['healthy', 'comfort']","['lunch', 'dinner']",3.9,33,"https://loremflickr.com/800/600/aloo,gobi?lock=245"
246,Dakshin Rasoi,Mix Veg Curry,North Indian,180,3.9,Gwalior,Mahalgaon,Vegetarian,False,"['healthy', 'relaxed']","['lunch', 'dinner']",4.9,35,"https://loremflickr.com/800/600/mix,veg,curry?lock=246"
247,Desi Dhaba,Veg Jalfrezi,North Indian,210,4.4,Gwalior,Lashkar,Vegetarian,True,"['healthy', 'adventurous']","['lunch', 'dinner']",2.4,30,"https://loremflickr.com/800/600/veg,jalfrezi?lock=247"
248,Flame & Tawa,Veg Korma,Mughlai,250,3.7,Gwalior,Thatipur,Vegetarian,False,"['comfort', 'happy']","['lunch', 'dinner']",4.1,38,"https://loremflickr.com/800/600/veg,korma?lock=248"
249,Annapurna Kitchen,Navratan Korma,Mughlai,280,4.8,Gwalior,Morar,Vegetarian,False,"['happy', 'comfort']","['lunch', 'dinner']",5.6,34,"https://loremflickr.com/800/600/navratan,korma?lock=249"
250,The Food Lane,Mughlai Paneer,Mughlai,260,4.3,Gwalior,City Centre,Vegetarian,False,"['comfort', 'social']","['lunch', 'dinner']",3.7,32,"https://loremflickr.com/800/600/mughlai,paneer?lock=250"
251,Royal Tawa,Paneer Afghani,Mughlai,250,4.3,Gwalior,Hazira,Vegetarian,False,"['comfort', 'relaxed']","['lunch', 'dinner']",5.4,41,"https://loremflickr.com/800/600/paneer,afghani?lock=251"
252,Bhopal Bites Gwalior,Paneer Tikka Masala,North Indian,260,4.7,Gwalior,University Road,Vegetarian,True,"['comfort', 'happy']","['lunch', 'dinner']",4.3,31,"https://loremflickr.com/800/600/paneer,tikka,masala?lock=252"
253,Roti & Curry,Lachha Paratha,North Indian,80,4.3,Gwalior,Phalka Bazar,Vegetarian,False,"['comfort', 'happy']","['breakfast', 'lunch', 'dinner']",1.8,21,"https://loremflickr.com/800/600/lachha,paratha?lock=253"
254,Masala Junction,Missi Roti,North Indian,100,4.3,Gwalior,Mahalgaon,Vegetarian,True,"['healthy', 'comfort']","['lunch', 'dinner']",6.2,35,"https://loremflickr.com/800/600/missi,roti?lock=254"
255,Ghar Ka Swaad,Rumali Roti,Mughlai,90,4.6,Gwalior,Lashkar,Vegetarian,False,"['comfort', 'social']","['lunch', 'dinner']",4.3,32,"https://loremflickr.com/800/600/rumali,roti?lock=255"
256,Tadka Tales,Garlic Naan,North Indian,90,4.6,Gwalior,Thatipur,Vegetarian,False,"['comfort', 'happy']","['lunch', 'dinner']",4.1,31,"https://loremflickr.com/800/600/garlic,naan?lock=256"
257,Foodie Adda,Butter Naan,North Indian,75,4.8,Gwalior,Morar,Vegetarian,False,"['comfort', 'happy']","['lunch', 'dinner']",5.6,40,"https://loremflickr.com/800/600/butter,naan?lock=257"
258,The Hungry Bowl,Cheese Naan,North Indian,110,4.0,Gwalior,City Centre,Vegetarian,False,"['comfort', 'happy']","['lunch', 'dinner']",3.6,28,"https://loremflickr.com/800/600/cheese,naan?lock=258"
